2,6,5,13,19,14,16,11,0,7
writes,good,windows,key,people,number,image,god,car,information
article,problem,file,chip,government,health,data,people,cars,mail
organization,subject,dos,encryption,fbi,care,graphics,jesus,good,list
subject,time,run,clipper,gun,national,file,christian,engine,send
lines,lines,system,government,fire,research,software,bible,article,internet
posting,organization,program,public,president,medical,version,religion,writes,group
host,body,version,keys,state,study,color,church,oil,address
nntp,problems,files,security,police,school,jpeg,word,bike,email
distribution,long,unix,system,koresh,people,format,point,road,read
usa,effect,software,law,clinton,april,images,faith,dealer,post
